feature,p_val,pct_valid,pct_ctrl,avg_valid,avg_ctrl,sd_valid,sd_ctrl,esm,valid_group,adj_pval,FC,log(FC),norm_diff
CD244,0.37097522047833587,0.01818181818181818,0.0,0.11939985510806803,0.0,0.8854930248118954,0.0,0.19069251784911848,healthy,0.6059909360693235,inf,inf,0.11939985510806803
SLC1A6,0.37097522047833587,0.01818181818181818,0.0,0.11879122309577085,0.0,0.8809792890030989,0.0,0.19069251784911853,healthy,0.6028347332772958,inf,inf,0.11879122309577085
CYP3A4,0.37097522047833587,0.01818181818181818,0.0,0.11879122309577085,0.0,0.8809792890030989,0.0,0.19069251784911853,healthy,0.5997112372499522,inf,inf,0.11879122309577085
CDH2,0.3744730186737649,0.07272727272727272,0.13043478260869565,0.4973280085653945,0.8259606244769262,1.798698735673082,2.169654479787642,-0.1649077620620026,healthy,0.6022452671454364,0.6021207232249698,-0.7318753232896243,-0.3286326159115317
TENM1,0.391049769027787,0.05454545454545454,0.021739130434782608,0.38271996976567196,0.13708289649977384,1.6087000956703275,0.9297414391040739,0.18696160924267932,healthy,0.6256796304444592,2.7918870956035233,1.481240599890535,0.24563707326589812
ROR1,0.3910618518451193,0.05454545454545454,0.021739130434782608,0.42487774326583577,0.1267813544158803,1.8006538389029465,0.8598729813560564,0.2112688621675515,healthy,0.6225066213044756,3.3512636398575717,1.744705186080968,0.2980963888499555
GNG2,0.3910618518451193,0.05454545454545454,0.021739130434782608,0.3865898349677691,0.11905706276587892,1.625038557528045,0.8074842864998476,0.20850215678427633,healthy,0.6193466892166357,3.2470970305053046,1.6991504962153958,0.2675327722018902
SFRP1,0.3960740378371045,0.07272727272727272,0.13043478260869565,0.5059686643842113,0.8380606041098018,1.8268946659907457,2.1917245788550264,-0.16459972327127445,healthy,0.6241166656827102,0.6037375601513418,-0.7280065369726788,-0.3320919397255905
ACVR2A,0.40230468775283,0.05454545454545454,0.021739130434782608,0.3928775142080202,0.12205413162614537,1.6908705146003127,0.8278113964923239,0.20343937433151446,healthy,0.6307490581853415,3.218879270809227,1.6865584672563674,0.2708233825818748
GNG4,0.40230468775283,0.05454545454545454,0.021739130434782608,0.35833127717977986,0.13218738820661416,1.508352268781275,0.8965384864247382,0.1822642574522533,healthy,0.6275953128944148,2.710782640017774,1.43870943750604,0.2261438889731657
